Title,Author,Citation,PMID,Free Access,Abstract
"
              
                Can drones be used to conduct water sampling in aquatic environments? A review.
              
            ","Lally HT, O'Connor I, Jensen OP, Graham CT.",<built-in method split of str object at 0x000001D3E3E7EAB0>,30909034,No,"
              Advancements in drone technology have seen the development of drone-assisted water sampling payloads resulting in the ability of drones to retrieve water samples and physico-chemical data from aquatic ecosystems. ...However, drone-assisted water sampli …
            "
"
              
                The first use of a photogrammetry drone to estimate population abundance and predict age structure of threatened Sumatran elephants.
              
            ","Rahman DA, Herliansyah R, Subhan B, Hutasoit D, Imron MA, Kurniawan DB, Sriyanto T, Wijayanto RD, Fikriansyah MH, Siregar AF, Santoso N.",<built-in method split of str object at 0x000001D3E2490CB0>,38042901,Yes,"
              Wildlife monitoring in tropical rainforests poses additional challenges due to species often being elusive, cryptic, faintly colored, and preferring concealable, or difficult to access habitats. Unmanned aerial vehicles (UAVs) prove promising for wildlife surveys in …
            "
"
              
                Fusion of visible and thermal images improves automated detection and classification of animals for drone surveys.
              
            ","Krishnan BS, Jones LR, Elmore JA, Samiappan S, Evans KO, Pfeiffer MB, Blackwell BF, Iglay RB.",<built-in method split of str object at 0x000001D3E2472310>,37369669,Yes,"
              Visible and thermal images acquired from drones (unoccupied aircraft systems) have substantially improved animal monitoring. ...We discuss computational and field considerations to improve drone surveys using our fusion approach....
            "
"
              
                Virus hunters test new surveillance tools.
              
            ",Cohen J.,<built-in method split of str object at 0x000001D3E3E89D70>,36603095,No,"
              Ropes, drones, insects, and dust cloths could make monitoring faster, safer, and cheaper....
            "
"
              
                Medical Applications of Drones for Disaster Relief: A Review of the Literature.
              
            ","Rosser JB Jr, Parker BC, Vignesh V.",<built-in method split of str object at 0x000001D3E32BE180>,30384393,No,"
              INTRODUCTION: Rapid progress has been made with unmanned aerial systems (UAS), which are now used in a wide variety of different fields, including media, agriculture, wildlife, and infrastructure. ...RESULTS: The search identified 711 sources pertaining to civilian …
            "
"
              
                The broad scale impact of climate change on planning aerial wildlife surveys with drone-based thermal cameras.
              
            ","Camacho AM, Perotto-Baldivieso HL, Tanner EP, Montemayor AL, Gless WA, Exum J, Yamashita TJ, Foley AM, DeYoung RW, Nelson SD.",<built-in method split of str object at 0x000001D3E2491E30>,36932162,Yes,"
              Helicopters used for aerial wildlife surveys are expensive, dangerous and time consuming. Drones and thermal infrared cameras can detect wildlife, though the ability to detect individuals is dependent on weather conditions. ...
            "
"
              
                Containing the COVID-19 pandemic with drones - Feasibility of a drone enabled back-up transport system.
              
            ","Kunovjanek M, Wankmüller C.",<built-in method split of str object at 0x000001D3E2471E90>,33846672,Yes,"
              In this study, we therefore investigate how drones can be used to distribute viral tests to potentially infected patients. The novel approach that we propose is to use existing drone infrastructure to perform this task, where drones owned and operated by diff …
            "
"
              
                Review of Intentional Electromagnetic Interference on UAV Sensor Modules and Experimental Study.
              
            ","Kim SG, Lee E, Hong IP, Yook JG.",<built-in method split of str object at 0x000001D3E2F272D0>,35336557,Yes,"
              With the advancement of technology, Unmanned Aerial Vehicles (UAVs), also known as drones, are being used in numerous applications. However, the illegal use of UAVs, such as in terrorism and spycams, has also increased, which has led to active research on ant …
            "
"
              
                The Role of Drones in Out-of-Hospital Cardiac Arrest: A Scoping Review.
              
            ","Lim JCL, Loh N, Lam HH, Lee JW, Liu N, Yeo JW, Ho AFW.",<built-in method split of str object at 0x000001D3E24AA830>,36233610,Yes,"
              Out of the 26 included studies, 23 conducted simulations or physical trials to optimise drone network configuration and evaluate time savings from drone delivery of AEDs, compared to the current emergency medical services (EMS), along with 1 prospective trial conduc …
            "
"
              
                Design and Evaluation of an Alternative Control for a Quad-Rotor Drone Using Hand-Gesture Recognition.
              
            ","Khaksar S, Checker L, Borazjan B, Murray I.",<built-in method split of str object at 0x000001D3E2F265B0>,37420629,Yes,"
              Specifically, this is achieved through the development of an HGR-based alternative-control system capable of controlling of a quad-rotor drone. The technical importance of this paper stems from the results produced during the novel and clinically sound evaluation of MPH, a …
            "
"
              
                Africa's lifesaving medical drones fly into action.
              
            ",Shepherd A.,<built-in method split of str object at 0x000001D3E3250030>,35477694,No,"
"
"
              
                Six places where drones are delivering medicines.
              
            ",Snouffer E.,<built-in method split of str object at 0x000001D3E24B3910>,35418616,No,"
"
"
              
                The neuroethology of olfactory sex communication in the honeybee Apis mellifera L.
              
            ","Mariette J, Carcaud J, Sandoz JC.",<built-in method split of str object at 0x000001D3E24ABA30>,33447877,No,"
              Here, we present our current understanding of the molecules, cells, and circuits underlying bees' sexual communication. Mating in honeybees takes place at so-called drone congregation areas and places high in the air where thousands of drones gather and mate in doze …
            "
"
              
                Distributed Blockchain-Based Platform for Unmanned Aerial Vehicles.
              
            ","Ahamed Ahanger T, Aldaej A, Atiquzzaman M, Ullah I, Yousufudin M.",<built-in method split of str object at 0x000001D3E24035A0>,36093501,Yes,"
              Internet of Things (IoT)-inspired drone environment is having a greater influence on daily lives in the form of drone-based smart electricity monitoring, traffic routing, and personal healthcare. However, communication between drones and ground control system …
            "
"
              
                Modeling for temporal land subsidence forecasting using field surveying with complementary drone imagery testing in Yazd Plain, Iran.
              
            ","Amin P, Ghalibaf MA, Hosseini M.",<built-in method split of str object at 0x000001D3E2F24030>,34921333,No,"
              The topography measurements showed land altitudes variations in nanorelieves scale (a few millimeters to some centimeters) with a sinuous rhythm. On the base of field surveying, drone imagery was used for testing the temporal forecasting model. ...
            "
"
              
                Review: Precision Livestock Farming technologies in pasture-based livestock systems.
              
            ","Aquilani C, Confessore A, Bozzi R, Sirtori F, Pugliese C.",<built-in method split of str object at 0x000001D3E3E7EBC0>,34953277,Yes,"
              ., oestrus, calving, or lambing). Remote sensing by satellite images or unmanned aerial vehicles (UAVs) seems promising for biomass assessment and herd management based on pasture availability, and some attempts to use UAVs to monitor, track, or even muster animals …
            "
"
              
                Diversity and ice nucleation activity of Pseudomonas syringae in drone-based water samples from eight lakes in Austria.
              
            ","Hanlon R, Jimenez-Sanchez C, Benson J, Aho K, Morris C, Seifried TM, Baloh P, Grothe H, Schmale D.",<built-in method split of str object at 0x000001D3E2472550>,38047025,Yes,"
              We investigated the haplotype diversity and ice nucleation activity at -8 C (ice+) of strains of P. syringae from water samples collected with drones in eight freshwater lakes in Austria. A phylogenetic analysis of citrate synthase (cts) sequences from 271 strains of bacte …
            "
"
              
                Using drones to deliver blood products in Rwanda.
              
            ",Amukele T.,<built-in method split of str object at 0x000001D3E247BA50>,35303447,Yes,"
"
"
              
                Testing the delivery of human organ transportation with drones in the real world.
              
            ","Sage AT, Cypel M, Cardinal M, Qiu J, Humar A, Keshavjee S.",<built-in method split of str object at 0x000001D3E24AA030>,36542685,No,"
              Last-mile transportation of human donor lungs in a densely populated urban environment has been made possible with drones....
            "
"
              
                Assessing the effectiveness of mitigating pesticide-related disease risk among pesticide-spraying drone operators in Taiwan.
              
            ","Wu WT, Chen JM, Chang YY, Lin SD, Chen ST, Hung YT.",<built-in method split of str object at 0x000001D3E2F25A70>,37982326,No,"
              OBJECTIVES: The purpose of this study was to evaluate the risk of pesticide poisoning, liver and renal failure, dermatitis, respiratory problems, hypersensitivity pneumonitis, keratitis, and epilepsy among pesticide-spraying personnel and to assess the effectiveness of a new meth …
            "
"
              
                Fusion Filters between the No Motion No Integration Technique and Kalman Filter in Noise Optimization on a 6DoF Drone for Orientation Tracking.
              
            ","Hoang ML, Carratù M, Paciello V, Pietrosanto A.",<built-in method split of str object at 0x000001D3E43CF000>,37420768,Yes,"
              The paper works on the new combination between the No Motion No Integration filter (NMNI) and the Kalman Filter (KF) to optimize the conducted vibration for orientation angles during drone operation. The drone's roll, pitch, and yaw with just accelerometer and gyros …
            "
"
              
                On Aerial Robots with Grasping and Perching Capabilities: A Comprehensive Review.
              
            ","Meng J, Buzzatto J, Liu Y, Liarokapis M.",<built-in method split of str object at 0x000001D3E476D9B0>,35399745,Yes,"
Aerial robots range from standard multicopter vehicles/drones, to autonomous helicopters, and fixed-wing or hybrid devices. Such devices rely on a range of different solutions for achieving grasping and perching. ...
            "
"
              
                Beach litter survey by drones: Mini-review and discussion of a potential standardization.
              
            ","Gonçalves G, Andriolo U, Gonçalves LMS, Sobral P, Bessa F.",<built-in method split of str object at 0x000001D3E2403340>,36216177,Yes,"
              The abundance of beach litter has been increasing globally during the last decades, and it is an issue of global concern. A new survey strategy, based on uncrewed aerial vehicles (UAV, aka drones), has been recently adopted to improve the monitoring of beach macro-l …
            "
"
              
                The discovery of Varroa destructor on drone honey bees, Apis mellifera, at drone congregation areas.
              
            ","Mortensen AN, Jack CJ, Ellis JD.",<built-in method split of str object at 0x000001D3E2F25C50>,30094539,No,"
Drones were collected and the number of Varroa per 100 drones was calculated for each of five drone congregation areas (mating sites). This study is the first to confirm that drones present at drone congregation areas do carry Varroa. Further ex …
            "
"
              
                Determinants of spatial variability of air pollutant concentrations in a street canyon network measured using a mobile laboratory and a drone.
              
            ","Järvi L, Kurppa M, Kuuluvainen H, Rönkkö T, Karttunen S, Balling A, Timonen H, Niemi JV, Pirjola L.",<built-in method split of str object at 0x000001D3E24BA130>,36174693,Yes,"
              In order to understand these variabilities high-resolution measurements of air pollutants are needed. Here we present results of a mobile laboratory and a drone measurements made within a street-canyon network in Helsinki, Finland, in summer and winter 2017. The mobile lab …
            "
"
              
                Multi-UAV Path Planning Algorithm Based on BINN-HHO.
              
            ","Li S, Zhang R, Ding Y, Qin X, Han Y, Zhang H.",<built-in method split of str object at 0x000001D3E2F246C0>,36560155,Yes,"
              Multi-UAV (multiple unmanned aerial vehicles) flying in three-dimensional (3D) mountain environments suffer from low stability, long-planned path, and low dynamic obstacle avoidance efficiency. ...
            "
"
              
                Removal of drone brood from Apis mellifera (Hymenoptera: Apidae) colonies to control Varroa destructor (Acari: Varroidae) and retain adult drones.
              
            ","Wantuch HA, Tarpy DR.",<built-in method split of str object at 0x000001D3E3A768D0>,20069828,No,"
              Thus there has been increased emphasis on nonchemical integrated pest management control tactics for Varroa. Because mites preferentially reproduce in drone brood (pupal males), we developed a treatment strategy focusing on salvaging parasitized drones while removin …
            "
"
              
                Remote Sensing Evaluation Drone Herbicide Application Effectiveness for Controlling Echinochloa spp. in Rice Crop in Valencia (Spain).
              
            ","Bautista AS, Tarrazó-Serrano D, Uris A, Blesa M, Estruch-Guitart V, Castiñeira-Ibáñez S, Rubio C.",<built-in method split of str object at 0x000001D3E2492970>,38339521,Yes,"
              Therefore, the objective of this work is to evaluate the possibility of using remote sensing effectively to determine the effectiveness of the application of the herbicide cyhalofop-butyl by drone for the control of Echinochloa spp. in rice crops in Valencia. ...Remote sen …
            "
"
              
                Use of Fish Skin Graft in Management of Combat Injuries Following Military Drone Assaults in Field-Like Hospital Conditions.
              
            ","Reda F, Kjartansson H, Jeffery SLA.",<built-in method split of str object at 0x000001D3E39EC110>,36794813,Yes,"
"
"
              
                Evaluation of landfill leachate biodegradability using IOT through geotracking sensor based drone surveying.
              
            ",S G.,<built-in method split of str object at 0x000001D3E33A74B0>,37579961,No,"
              The current leachate management has a desire to suggest a strong resolution in handling solid waste that is elaborated with a novel methodology, where we suggest the radiofrequency identification of leachate monitoring by the use of modern versions of unmanned aerial …
            "
"
              
                Wildlife conservation using drones and artificial intelligence in Africa.
              
            ","Petso T, Jamisola RS Jr.",<built-in method split of str object at 0x000001D3E39EDED0>,38117868,No,"
              The use of drones and artificial intelligence may offer more reliable methods of counting populations and monitoring wildlife....
            "
"
              
                Survey on Path Planning for UAVs in Healthcare Missions.
              
            ","Merei A, Mcheick H, Ghaddar A.",<built-in method split of str object at 0x000001D3E3E339E0>,37498478,No,"
              This article presents a comprehensive review of the state-of-the-art applications and methodologies related to the use of unmanned aerial vehicles (UAVs) in the healthcare sector, with a particular focus on path planning. ...
            "
"
              
                Use of drones in clinical microbiology and infectious diseases: current status, challenges and barriers.
              
            ","Poljak M, Šterbenc A.",<built-in method split of str object at 0x000001D3E248C5D0>,31574337,Yes,"
              BACKGROUND: Drones or unmanned aerial vehicles are autonomous or remotely controlled multipurpose aerial vehicles driven by aerodynamic forces and capable of carrying a payload. ...SOURCES: Information was sought through PubMed and extracted from peer- …
            "
"
              
                Improving EMS response times for out-of-hospital cardiac arrest in urban areas using drone-like vertical take-off and landing air ambulances: An international, simulation-based cohort study.
              
            ","Heidet M, Benjamin Leung KH, Bougouin W, Alam R, Frattini B, Liang D, Jost D, Canon V, Deakin J, Hubert H, Christenson J, Vivien B, Chan T, Cariou A, Dumas F, Jouven X, Marijon E, Bennington S, Travers S, Souihi S, Mermet E, Freyssenge J, Arrouy L, Lecarpentier E, Derkenne C, Grunau B.",<built-in method split of str object at 0x000001D3E2464DC0>,37813148,No,"
              BACKGROUND: Advances in vertical take-off and landing (VTOL) technologies may enable drone-like crewed air ambulances to rapidly respond to out-of-hospital cardiac arrest (OHCA) in urban areas. ...
            "
"
              
                Picturing local adaptation: Spectral and structural traits from drone remote sensing reveal clinal responses to climate transfer in common-garden trials of interior spruce (Picea engelmannii glauca).
              
            ","Grubinger S, Coops NC, O'Neill GA.",<built-in method split of str object at 0x000001D3E2F264C0>,37424219,No,"
              As jurisdictions consider assisted migration strategies to match populations to suitable climates, in situ progeny and provenance trials provide experimental evidence of adaptive responses to climate change. We used drone technology, multispectral imaging, and digital a …
            "
"
              
                Navigating the challenges in remote medical care for mariners during disasters and pandemics: integration of mHealth and drone technology.
              
            ",Sharma M.,<built-in method split of str object at 0x000001D3E3E33AB0>,37781948,Yes,"
"
"
              
                Antibacterial particles and predatory bacteria as alternatives to antibacterial chemicals in the era of antibiotic resistance.
              
            ",Novick RP.,<built-in method split of str object at 0x000001D3E2F27780>,34688038,Yes,"
              Four extant members of this class are predatory bacteria, functional (plaque-forming) phages, and engineered particulate systems, phagemids (plasmids that contain a phage packaging signal) and antibacterial drones (ABDs) that package chromosomal island DNA carrying antibac …
            "
"
              
                [Drones in medical care : A new member of the rescue chain?].
              
            ",Kippnich U.,<built-in method split of str object at 0x000001D3E39ED530>,34652473,No,"
              Do drones have the potential to become established as a new member of the rescue chain? ...
            "
"
              
                Closing Connectivity Gap: An Overview of Mobile Coverage Solutions for Not-Spots in Rural Zones.
              
            ","Cabrera-Castellanos DF, Aragón-Zavala A, Castañón-Ávila G.",<built-in method split of str object at 0x000001D3E335C4F0>,34884041,Yes,"
              In the present review article, we have comprehensively surveyed the use of three platforms to deliver broadband services to such remote and low-income areas, and they are proposed as follows: unmanned aerial vehicles (UAV), altitude platforms (AP), and low-Earth orb …
            "
"
              
                Sync and Swarm: Solvable Model of Nonidentical Swarmalators.
              
            ","Yoon S, O'Keeffe KP, Mendes JFF, Goltsev AV.",<built-in method split of str object at 0x000001D3E2F27000>,36462001,No,"
              These states occur in many real-world swarmalator systems such as biological microswimmers, chemical nanomotors, and groups of drones. A generalized Ott-Antonsen ansatz provides the first analytic description of these states and conditions for their existence. ...
            "
"
              
                Application of Technology in Cardiopulmonary Resuscitation, a Narrative Review.
              
            ","Levitt CV, Boone K, Tran QK, Pourmand A.",<built-in method split of str object at 0x000001D3E2F27D20>,38068434,Yes,"
              The six key technologies include: extracorporeal membrane oxygenation (ECMO), real-time feedback devices, smart devices, video review, point-of-care ultrasound, and unmanned aerial vehicle (drone) automated external defibrillator (AED) delivery. …
            "
"
              
                Examining safe spaces for pedestrians and e-bicyclists at urban crosswalks: An analysis based on drone-captured video.
              
            ","Wang Y, Jia Y, Chen W, Wang T, Zhang A.",<built-in method split of str object at 0x000001D3E425C030>,37925760,No,"
              This study presents the idea of ""safe spaces,"" outlining the buffer zones that both walkers and e-bicyclists maintain when crossing streets, while also taking safety and psychological well-being into consideration. We used drones to gather the study's trajectory data at th …
            "
"
              
                Hazard Analysis and Safety Requirements for Small Drone Operations: To What Extent Do Popular Drones Embed Safety?
              
            ","Plioutsias A, Karanikas N, Chatzimihailidou MM.",<built-in method split of str object at 0x000001D3E425C120>,28768049,No,"
              The application of STPA resulted in 70 safety requirements distributed across the authority, manufacturer, end user, or drone automation levels. A gap analysis showed high dissimilarities regarding the extent to which the 19 drones meet the same safety requirements. …
            "
"
              
                [AED drones on the rise? : Use of drones to improve public access defibrillation].
              
            ","Thies KC, Jansen G, Wähnert D.",<built-in method split of str object at 0x000001D3E335C750>,36166065,Yes,"
              BACKGROUND: The poor availability of automatic external defibrillators (AED) and the modest knowledge of lay persons in handling these devices has led to an insufficient spread of public access defibrillation in Germany. OBJECTIVE: This article examines whether the automat …
            "
"
              
                Quantification of flight times of aerial treatments targeting invasive species: the interplay of helicopter or drone with bait-delivery systems, flight speed and bait form.
              
            ","Hoffmann BD, Tessmann A, Quinn G, Lawton F.",<built-in method split of str object at 0x000001D3E425C210>,36693815,No,"
              Here, we analyse aerial treatment data collected from two ant-eradication programmes, quantifying how the relationships between flight time and area are influenced by numerous aircraft/delivery system/bait/flight speed combinations. ...Over 10 and 50 ha the helicopter was …
            "
"
              
                Quality-of-Service-Centric Design and Analysis of Unmanned Aerial Vehicles.
              
            ","Jha SK, Prakash S, Rathore RS, Mahmud M, Kaiwartya O, Lloret J.",<built-in method split of str object at 0x000001D3E3A26C30>,35897981,Yes,"
              Recent years have witnessed rapid development and great indignation burgeoning in the unmanned aerial vehicles (UAV) field. This growth of UAV-related research contributes to several challenges, including inter-communication from vehicle to vehicle, transportation c …
            "
"
              
                Multirotor Motor Failure Detection with Piezo Sensor.
              
            ","Ambroziak L, Ołdziej D, Koszewnik A.",<built-in method split of str object at 0x000001D3E23B2550>,36679844,Yes,"
              Failure detection of Unmanned Aerial Vehicle (UAV) motors and propulsion systems is the most important step in the implementation of active fault-tolerant control systems. This will increase the reliability of unmanned systems and increase the level of safety …
            "
"
              
                Distance examination of livestock with drones - an effective method for assessing health and welfare.
              
            ","Rayner KL, Wilson ME.",<built-in method split of str object at 0x000001D3E3E33360>,38342968,No,"
              Cattle were more sensitive to the presence of the drones than sheep. The micro drone was unable to approach cattle close enough to allow undisturbed distance examination. ...The selection of an appropriate drone model is essential for accurate distance examin …
            "
"
              
                Optimal Relay Network for Aerial Remote Inspections.
              
            ","Pinto LR, Almeida L.",<built-in method split of str object at 0x000001D3E2481990>,35214291,Yes,"
Unmanned aerial vehicles (UAVs), in particular multirotors, are becoming the de facto tool for aerial sensing and remote inspection. ...
            "
"
Unmanned aerial vehicles (drones) in out-of-hospital-cardiac-arrest.
              
            ","Claesson A, Fredman D, Svensson L, Ringh M, Hollenberg J, Nordberg P, Rosenqvist M, Djarv T, Österberg S, Lennartsson J, Ban Y.",<built-in method split of str object at 0x000001D3E23837B0>,27729058,Yes,"
              BACKGROUND: The use of an automated external defibrillator (AED) prior to EMS arrival can increase 30-day survival in out-of-hospital cardiac arrest (OHCA) significantly. Drones or unmanned aerial vehicles (UAV) can fly with high velocity and potentially tran …
            "
"
              
                Use of Unmanned Aerial Vehicles in Wilderness Search and Rescue Operations: A Scoping Review.
              
            ","Vincent-Lambert C, Pretorius A, Van Tonder B.",<built-in method split of str object at 0x000001D3E24731B0>,37923682,Yes,"
              Wilderness Search and Rescue (WSAR) focuses on locating and extricating missing persons in remote settings. As unmanned aerial vehicle (UAV) or ""drone"" technology has evolved, so has the literature describing its application in WSAR operations. ...This litera …
            "
"
Drones in medicine-The rise of the machines.
              
            ",Balasingam M.,<built-in method split of str object at 0x000001D3E3E32F50>,28851081,No,"
              The Federal Aviation Administration (FAA) in the United States and the European Aviation Safety Agency (EASA) in the European Union are some examples of legislative bodies with regulatory authority over drone usage. These agencies oversee all technical, safety, security an …
            "
"
              
                Decreasing body lengths in North Atlantic right whales.
              
            ","Stewart JD, Durban JW, Knowlton AR, Lynn MS, Fearnbach H, Barbaro J, Perryman WL, Miller CA, Moore MJ.",<built-in method split of str object at 0x000001D3E24920B0>,34087102,Yes,"
              We evaluated changes in body lengths of North Atlantic right whales (NARW) using aerial photogrammetry measurements collected from crewed aircraft and remotely operated drones over a 20-year period (Figure 1). ...
            "
"
              
                Coverage Path Planning Methods Focusing on Energy Efficient and Cooperative Strategies for Unmanned Aerial Vehicles.
              
            ","Fevgas G, Lagkas T, Argyriou V, Sarigiannidis P.",<built-in method split of str object at 0x000001D3E24AA530>,35161979,Yes,"
              Significant research has been done in robotics, particularly for multi-unmanned unmanned aerial vehicles (UAVs) cooperation and energy efficiency in CPP problems. ...
            "
"
              
                Will drones revolutionize home delivery? Let's get real.
              
            ",Campbell JF.,<built-in method split of str object at 0x000001D3E247A4C0>,36033600,Yes,"
              Rodrigues et al. (2022) use field data to assess potential energy and emissions savings from drone delivery of very small packages, and further studies with real delivery drones in real delivery settings will help drone delivery become more widespread....
            "
"
              
                Monitoring of Antarctica's Fragile Vegetation Using Drone-Based Remote Sensing, Multispectral Imagery and AI.
              
            ","Raniga D, Amarasingam N, Sandino J, Doshi A, Barthelemy J, Randall K, Robinson SA, Gonzalez F, Bollard B.",<built-in method split of str object at 0x000001D3E2402760>,38400222,Yes,"
              Vegetation in East Antarctica, such as moss and lichen, vulnerable to the effects of climate change and ozone depletion, requires robust non-invasive methods to monitor its health condition. Despite the increasing use of unmanned aerial vehicles (UAVs) to acquire hi …
            "
"
              
                Efficient Online Object Tracking Scheme for Challenging Scenarios.
              
            ","Mehmood K, Ali A, Jalil A, Khan B, Cheema KM, Murad M, Milyani AH.",<built-in method split of str object at 0x000001D3E4246BC0>,34960574,Yes,"
              Visual object tracking (VOT) is a vital part of various domains of computer vision applications such as surveillance, unmanned aerial vehicles (UAV), and medical diagnostics. In recent years, substantial improvement has been made to solve various challenges of VOT t …
            "
"
              
                COVID-19: Challenges and its Technological Solutions using IoT.
              
            ","Ajaz F, Naseem M, Sharma S, Shabaz M, Dhiman G.",<built-in method split of str object at 0x000001D3E2F24E40>,33588738,No,"
              In addition to this, the role of machine learning techniques for diagnosing COVID-19 has been discussed in this paper, and a quick explanation of the unmanned aerial vehicle (UAVs) applications for contact tracing has also been specified. ...
            "
"
Unmanned aerial vehicles for surveillance and control of vectors of malaria and other vector-borne diseases.
              
            ","Mechan F, Bartonicek Z, Malone D, Lees RS.",<built-in method split of str object at 0x000001D3E2F247B0>,36670398,Yes,"
              The use of Unmanned Aerial Vehicles (UAVs) has expanded rapidly in ecological conservation and agriculture, with a growing literature describing their potential applications in global health efforts including vector control. ...
            "
"
              
                Cooperatively Routing a Truck and Multiple Drones for Target Surveillance.
              
            ","Tian S, Wen X, Wei B, Wu G.",<built-in method split of str object at 0x000001D3E39EE790>,35458894,Yes,"
              With the development of drone technology, drones have been deployed in civilian and military fields for target surveillance. ...In this mode, the truck, which carries multiple drones, departs from its base, launches small drones along the way, surveils …
            "
"
              
                Machine-Learning Based Monitoring of Cognitive Workload in Rescue Missions With Drones.
              
            ","DellrAgnola F, Jao PK, Arza A, Chavarriaga R, Millan JDR, Floreano D, Atienza D.",<built-in method split of str object at 0x000001D3E24911B0>,35759604,No,"
              In search and rescue missions, drone operations are challenging and cognitively demanding. High levels of cognitive workload can affect rescuers' performance, leading to failure with catastrophic outcomes. ...On an unseen test set acquired from 34 volunteers, our proposed …
            "
"
              
                A Mission-Oriented Flight Path and Charging Mechanism for Internet of Drones.
              
            ","Huang CJ, Hu KW, Cheng HW, Sie Lin YS.",<built-in method split of str object at 0x000001D3E2F266A0>,37177475,Yes,"
              In addition to traditional battery exchange services and stationary charging stations, researchers have proposed wireless charging technology, such as decentralized laser charging or drone-to-drone charging in flight, to provide power to drones with insuffici …
            "
"
              
                Are unmanned aerial vehicle-based hyperspectral imaging and machine learning advancing crop science?
              
            ","Matese A, Prince Czarnecki JM, Samiappan S, Moorhead R.",<built-in method split of str object at 0x000001D3E2473E10>,37802693,Yes,"
              The past few years have seen increased interest in unmanned aerial vehicle (UAV)-based hyperspectral imaging (HSI) and machine learning (ML) in agricultural research, concomitant with an increase in published research on these topics. ...
            "
"
Drones delivering automated external defibrillators: A new strategy to improve the prognosis of out-of-hospital cardiac arrest.
              
            ","Liu X, Yuan Q, Wang G, Bian Y, Xu F, Chen Y.",<built-in method split of str object at 0x000001D3E24AAB30>,36535307,No,"
              OBJECTIVE: This review illustrates the feasibility and advantages of AED delivery by drones by surveying current studies on drones, explains that drones are a new strategy in OHCA, and finally proposes novel strategies to address existing problems with dro …
            "
"
              
                Pix2Pix-Based Monocular Depth Estimation for Drones with Optical Flow on AirSim.
              
            ","Shimada T, Nishikawa H, Kong X, Tomiyama H.",<built-in method split of str object at 0x000001D3E2F24C60>,35336268,Yes,"
              In this work, we propose a method for estimating depth for an image of a monocular camera in order to avoid a collision for the autonomous flight of a drone. The highest flight speed of a drone is generally approximate 22.2 m/s, and long-distant depth information is …
            "
"
              
                Integrating drones in response to public health emergencies: A combined framework to explore technology acceptance.
              
            ","Shapira S, Cauchard JR.",<built-in method split of str object at 0x000001D3E24ABE30>,36388358,Yes,"
              The aim of the study was to propose and test an integrated model combining the technology acceptance model (TAM), task-technology fit (TTF), social motivation, and drone-related perceived risks to explore the intention to use drones in public health emergencies (PHE …
            "
"
              
                Optimal settings and advantages of drones as a tool for canopy arthropod collection.
              
            ","Madden JC, Brisson-Curadeau É, Gillung JP, Bird DM, Elliott KH.",<built-in method split of str object at 0x000001D3E38F99B0>,36289247,Yes,"
              The growing field of aeroecology is limited by difficulties associated with sampling in the air column. Aerial insects are particularly hard to sample, despite being the main prey in the air column, with some recent studies attempting to use drones as a collection m …
            "
"
              
                Multispectral Detection of Commercial Unmanned Aerial Vehicles.
              
            ","Farlik J, Kratky M, Casar J, Stary V.",<built-in method split of str object at 0x000001D3E2F27870>,30925793,Yes,"
              The fight against unmanned vehicles is nothing new; however, especially with the arrival of new technologies that are easily accessible for the wider population, new problems are arising. The deployment of small unmanned aerial vehicles (UAVs) by paramilitary …
            "
"
              
                UAV-Based Smart Educational Mechatronics System Using a MoCap Laboratory and Hardware-in-the-Loop.
              
            ","Luque-Vega LF, Lopez-Neri E, Arellano-Muro CA, González-Jiménez LE, Ghommam J, Saad M, Carrasco-Navarro R, Ruíz-Cruz R, Guerrero-Osuna HA.",<built-in method split of str object at 0x000001D3E2357110>,35957267,Yes,"
              Within Industry 4.0, drones appear as intelligent devices that have brought a new range of innovative applications to the industrial sector. The required knowledge and skills to manage and appropriate these technological devices are not being developed in mos …
            "
"
              
                An artificial neural network explains how bats might use vision for navigation.
              
            ","Goldshtein A, Akrish S, Giryes R, Yovel Y.",<built-in method split of str object at 0x000001D3E2F27B40>,36463311,Yes,"
              Animals navigate using various sensory information to guide their movement. Miniature tracking devices now allow documenting animals' routes with high accuracy. ...We used machine learning and trained a convolutional neural network to navigate along a bat's route using vis …
            "
"
              
                Integrating drones into NHS patient diagnostic logistics systems: Flight or fantasy?
              
            ","Oakey A, Grote M, Smith A, Cherrett T, Pilko A, Dickinson J, AitBihiOuali L.",<built-in method split of str object at 0x000001D3E2471C50>,36548251,Yes,"
              Healthcare accounts for approximately 5% of emissions in developed nations, and the public healthcare provider in the United Kingdom (UK), the National Health Service (NHS), has set a target to reach net-zero emissions by 2040 without detriment to its quality of patient care. Wit …
            "
"
              
                Reinforcement Learning Based Topology Control for UAV Networks.
              
            ","Yoo T, Lee S, Yoo K, Kim H.",<built-in method split of str object at 0x000001D3E39EDD10>,36679723,Yes,"
              The recent development of unmanned aerial vehicle (UAV) technology has shown the possibility of using UAVs in many research and industrial fields. ...To solve this problem, we propose a topology control system for drone networks, which analyzes relative posit …
            "
"
Drones Do Not Drift between Nests in a Wild Population of Apis cerana.
              
            ","Hagan T, Lim J, Gloag R.",<built-in method split of str object at 0x000001D3E03F9FE0>,37103138,Yes,"
              Based on the genotypes of 1462 drones from 19 colonies, we found only a single drone that could be considered a candidate drifter (~0.07%). ...We concluded that drone drift in this population is low at best, and A. cerana drones either rarely make navi …
            "
