Title,Author,Citation,PMID,Free Access,Abstract,url_article
"
              
                A Bibliometric Network Analysis of Recent Publications on Digital Agriculture to Depict Strategic Themes and Evolution Structure.
              
            ","Sott MK, Nascimento LDS, Foguesatto CR, Furstenau LB, Faccin K, Zawislak PA, Mellado B, Kong JD, Bragazzi NL.",<built-in method split of str object at 0x000001C4051DEFB0>,34883903,Yes,"
              Our findings presented 22 strategic themes related to Digital Agriculture, such as Internet of Things (IoT), Unmanned Aerial Vehicles (UAV) and Climate-smart Agriculture (CSA), among others. ...
            ",https://pubmed.ncbi.nlm.nih.gov/34883903/
"
              
                Detection of Trees on Street-View Images Using a Convolutional Neural Network.
              
            ","Jodas DS, Yojo T, Brazolin S, Velasco GDN, Papa JP.",<built-in method split of str object at 0x000001C406785B30>,34479467,No,"
              Computational methods emerge as a rapid and efficient solution to evaluate bird's-eye-view images taken by satellites, drones, or even street-view photos captured at the ground level of the urban scenery. ...
            ",https://pubmed.ncbi.nlm.nih.gov/34479467/
"
              
                Outdoor flocking of quadcopter drones with decentralized model predictive control.
              
            ","Yuan Q, Zhan J, Li X.",<built-in method split of str object at 0x000001C40601D480>,28709654,No,"
              Each drone is a double-layered agent system with the coordination layer running multi-drone flocking algorithms and the flight control layer navigating the drone, and the final formation of the flock relies on both the communication range and the desired inte …
            ",https://pubmed.ncbi.nlm.nih.gov/28709654/
"
              
                UAV and satellite remote sensing for inland water quality assessments: a literature review.
              
            ","Wasehun ET, Hashemi Beni L, Di Vittorio CA.",<built-in method split of str object at 0x000001C406786E30>,38367097,No,"
              Numerous studies have utilized multispectral and hyperspectral remote sensing data from various sensors to assess water quality, yielding promising results. However, the recent popularity of unmanned aerial vehicle (UAV) remote sensing can be attributed to its high …
            ",https://pubmed.ncbi.nlm.nih.gov/38367097/
"
              
                Efficient Informative Path Planning via Normalized Utility in Unknown Environments Exploration.
              
            ","Yu T, Deng B, Gui J, Zhu X, Yao W.",<built-in method split of str object at 0x000001C40674D8B0>,36366127,Yes,"
              In this paper, we propose a solution to efficiently explore the unknown environment by unmanned aerial vehicles (UAV). Innovatively, a topological road map is incrementally built based on Rapidly-exploring Random Tree (RRT) and maintained along with the whole explor …
            ",https://pubmed.ncbi.nlm.nih.gov/36366127/
"
              
                Automated external defibrillator delivery by drones: are we ready for prime time?
              
            ","Karam N, Jost D, Jouven X, Marijon E.",<built-in method split of str object at 0x000001C4073A5020>,34438447,No,"
",https://pubmed.ncbi.nlm.nih.gov/34438447/
"
              
                Subjective and objective assessments of mental workload for UAV operations.
              
            ","Li KW, Lu Y, Li N.",<built-in method split of str object at 0x000001C405FB1420>,35431209,No,"
              BACKGROUND: Unmanned Aerial Vehicles (UAVs) have created safety problems for the publics. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35431209/
"
              
                Delay to initiation of out-of-hospital cardiac arrest EMS treatments.
              
            ","Ornato JP, Peberdy MA, Siegel CR, Lindfors R, Ludin T, Garrison D.",<built-in method split of str object at 0x000001C4069E89C0>,33387930,No,"
              Further regulatory change/research are needed to determine whether OHCA outcome can be improved by novel changes such as enhancing bystander effectiveness through drone-delivered drugs/devices & real-time dispatcher direction on their use....
            ",https://pubmed.ncbi.nlm.nih.gov/33387930/
"
              
                Analysis on security-related concerns of unmanned aerial vehicle: attacks, limitations, and recommendations.
              
            ","Siddiqi MA, Iwendi C, Jaroslava K, Anumbe N.",<built-in method split of str object at 0x000001C4073A44E0>,35240800,Yes,"
              Over time, the use of UAVs (unmanned aerial vehicles)/drones has increased across several civil and military application domains. ...This paper presents a brief analysis of unmanned aerial vehicle's/drones security and privacy-related con …
            ",https://pubmed.ncbi.nlm.nih.gov/35240800/
"
              
                Flight Planning Optimization of Multiple UAVs for Internet of Things.
              
            ","Rodrigues L, Riker A, Ribeiro M, Both C, Sousa F, Moreira W, Cardoso K, Oliveira-Jr A.",<built-in method split of str object at 0x000001C406EB4150>,34833810,Yes,"
              This article presents an approach to autonomous flight planning of Unmanned Aerial Vehicles (UAVs)-Drones as data collectors to the Internet of Things (IoT). ...In addition to the drone autonomous flight planning, a data storage limitation aspect is al …
            ",https://pubmed.ncbi.nlm.nih.gov/34833810/
"
              
                UWB Sensing for UAV and Human Comparative Movement Characterization.
              
            ","Digulescu A, Despina-Stoian C, Popescu F, Stanescu D, Nastasiu D, Sburlan D.",<built-in method split of str object at 0x000001C405FD88B0>,36850555,Yes,"
              Nowadays, unmanned aerial vehicles/drones are involved in a continuously growing number of security incidents. Therefore, the research interest in drone versus human movement detection and characterization is justified by the fact that such devices …
            ",https://pubmed.ncbi.nlm.nih.gov/36850555/
"
              
                Variation in the reproductive quality of honey bee males affects their age of flight attempt.
              
            ","Metz BN, Tarpy DR.",<built-in method split of str object at 0x000001C40649BC50>,35935251,Yes,"
              Previous research has shown that larger drones are more likely to be found at drone congregation areas, more likely to mate successfully, and obtain a higher paternity share. However, the reproductive quality and size of drones varies widely within and among …
            ",https://pubmed.ncbi.nlm.nih.gov/35935251/
"
              
                A hybrid security system for drones based on ICMetric technology.
              
            ","Alheeti KMA, Khaled Alarfaj F, Alreshoodi M, Almusallam N, Al Dosary D.",<built-in method split of str object at 0x000001C406EB60D0>,36943833,Yes,"
              Recently, the number of drones has increased, and drones' illegal and malicious use has become prevalent. ...This paper aims to design and implement an intelligent anomaly detection system for the security of unmanned aerial vehicles (UAVs)/drones …
            ",https://pubmed.ncbi.nlm.nih.gov/36943833/
"
              
                Behavioral responses of blue-winged teal and northern shoveler to unmanned aerial vehicle surveys.
              
            ","Ryckman MD, Kemink K, Felege CJ, Darby B, Vandeberg GS, Ellis-Felege SN.",<built-in method split of str object at 0x000001C406EB45D0>,35045108,Yes,"
Unmanned aerial vehicles (UAVs) have become a popular wildlife survey tool. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35045108/
"
              
                Droplet distribution in cotton canopy using single-rotor and four-rotor unmanned aerial vehicles.
              
            ","Meng Y, Ma Y, Wang Z, Hu H.",<built-in method split of str object at 0x000001C40674F2F0>,35722263,Yes,"
Unmanned aerial vehicles (UAVs) are widely used as the sprayers for low-volume pesticide application in recent years. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35722263/
"
              
                Accuracy of Vegetation Indices in Assessing Different Grades of Grassland Desertification from UAV.
              
            ","Xu X, Liu L, Han P, Gong X, Zhang Q.",<built-in method split of str object at 0x000001C405FD89C0>,36554681,Yes,"
              Therefore, in this study, 19 vegetation indices were calculated for 30 unmanned aerial vehicle (UAV) visible light images at five grades of grassland desertification in the Mu Us Sandy. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36554681/
"
              
                UAV-assisted real-time evidence detection in outdoor crime scene investigations.
              
            ","Georgiou A, Masters P, Johnson S, Feetham L.",<built-in method split of str object at 0x000001C405FD8BE0>,35262192,Yes,"
              Nowadays, a plethora of unmanned aerial vehicles (UAVs) designs that significantly vary in size, shape, operating flight altitude, and flight range have been developed to provide multidimensional capabilities across a wide range of military and civil applications. . …
            ",https://pubmed.ncbi.nlm.nih.gov/35262192/
"
              
                Development of a framework for improving the turnaround time of the application process at the South African Civil Aviation Authority.
              
            ","Mokoena Q, Daniyan I, Mpofu K, Abisuga O.",<built-in method split of str object at 0x000001C406030D30>,35991975,Yes,"
              According to some of the drone companies, application process of drone approval takes time to complete. These delays impact negatively to drone companies in South Africa. Drone operators were interviewed, and the current status of the application proce …
            ",https://pubmed.ncbi.nlm.nih.gov/35991975/
"
Drones Could Offer Solutions for Emergency Responses and Health Care in Remote Areas.
              
            ","Frith KH, Amiri A.",<built-in method split of str object at 0x000001C4073A5110>,35482405,No,"
",https://pubmed.ncbi.nlm.nih.gov/35482405/
"
              
                A Special Collection: Drones to Improve Insect Pest Management.
              
            ","Moses-Gonzales N, Brewer MJ.",<built-in method split of str object at 0x000001C40674F830>,34180516,No,"
              The Special Collection Drones to Improve Insect Pest Management presents research and development of unmanned (or uncrewed) aircraft system (UAS, or drone) technology to improve insect pest management. The articles bridge from more foundational studies (i.e., …
            ",https://pubmed.ncbi.nlm.nih.gov/34180516/
"
              
                Different stages of disease detection in squash plant based on machine learning.
              
            ","Babu RG, C C.",<built-in method split of str object at 0x000001C40693D250>,35092411,Yes,"
              In this paper, hyperspectral imaging and machine learning were used to detect different stages (early, middle, and critical stage) of the powderly mildew disease (PMD) in squash plants. An unmanned aerial vehicle (UAV) was used to collect the data from the field and …
            ",https://pubmed.ncbi.nlm.nih.gov/35092411/
"
              
                UAV-based landfill operation monitoring: A year of volume and topographic measurements.
              
            ","Mello CCS, Salim DHC, Simões GF.",<built-in method split of str object at 0x000001C406030E30>,34808434,No,"
Unmanned Aerial Vehicles (UAVs) for photogrammetry operations configures a technology capable of extracting quantitative information from land surface in a fast, accurate and safe way, reproducing it in high-resolution Digital Elevation Models (DEMs) and orthomosaic …
            ",https://pubmed.ncbi.nlm.nih.gov/34808434/
"
              
                Estimating and evaluating the rice cluster distribution uniformity with UAV-based images.
              
            ","Wang X, Tang Q, Chen Z, Luo Y, Fu H, Li X.",<built-in method split of str object at 0x000001C40674F590>,34728745,Yes,"
              However, there is no appropriate technical system for estimating and evaluating the uniformity at present. For that reason, a method based on unmanned aerial vehicle (UAV images) is proposed to estimate and evaluate the uniformity in this present study. This method …
            ",https://pubmed.ncbi.nlm.nih.gov/34728745/
"
              
                Smart Cybersecurity Framework for IoT-Empowered Drones: Machine Learning Perspective.
              
            ","Aldaej A, Ahanger TA, Atiquzzaman M, Ullah I, Yousufudin M.",<built-in method split of str object at 0x000001C406031230>,35408244,Yes,"
Drone advancements have ushered in new trends and possibilities in a variety of sectors, particularly for small-sized drones. ...The goal of the current study is to look at recent privacy and security concerns influencing the network of drones (NoD). The curr …
            ",https://pubmed.ncbi.nlm.nih.gov/35408244/
"
              
                Auditory detection probability of propeller noise in hover flight in presence of ambient soundscape.
              
            ","Stalnov O, Faran M, Koral Y, Furst M.",<built-in method split of str object at 0x000001C406D881D0>,35778181,No,"
Unmanned aerial vehicles are rapidly advancing and becoming ubiquitous in an unlimited number of applications, from parcel delivery to people transportation. As unmanned aerial vehicle (UAV) markets expand, the increased acoustic nuisance on population …
            ",https://pubmed.ncbi.nlm.nih.gov/35778181/
"
              
                Improved immune algorithm for sudden cardiac death first aid drones site selection.
              
            ","Yukun J, Yanmang S, Yan W, Bei W, Shurui F.",<built-in method split of str object at 0x000001C406031330>,36898205,No,"
              Using 300 points to simulate potential cardiac arrest locations in the main municipal district of Tianjin, China, the SCD first aid drone siting points are solved using an improved immune algorithm. RESULTS: Based on the actual parameters set by the SCD first aid drone …
            ",https://pubmed.ncbi.nlm.nih.gov/36898205/
"
              
                The Influence of Body Weight on Semen Parameters in Apis mellifera Drones.
              
            ","Bratu IC, Igna V, Simiz E, Dunea IB, Pătruică S.",<built-in method split of str object at 0x000001C4050F2700>,36555051,Yes,"
              The quantity and quality of the honey bee drone semen have a significant determination on the performance of bee colonies. The existence of a smaller number of mature drones to participate in the mating of queens, as well as a sufficient number of drones but …
            ",https://pubmed.ncbi.nlm.nih.gov/36555051/
"
              
                Asymmetric Arc Routing by Coordinating a Truck and Multiple Drones.
              
            ","Tian S, Chen H, Wu G, Cheng J.",<built-in method split of str object at 0x000001C40674F910>,36015838,Yes,"
Unmanned Aerial Vehicles, commonly known as drones, have been widely used in transmission line inspection and traffic patrolling due to their flexibility and environmental adaptability. To take advantage of drones and overcome their limited endurance, …
            ",https://pubmed.ncbi.nlm.nih.gov/36015838/
"
              
                Acoustic detection of unmanned aerial vehicles using biologically inspired vision processing.
              
            ","Fang J, Finn A, Wyber R, Brinkworth RSA.",<built-in method split of str object at 0x000001C40601EA70>,35232118,No,"
              Robust detection of acoustically quiet, slow-moving, small unmanned aerial vehicles is challenging. A biologically inspired vision approach applied to the acoustic detection of unmanned aerial vehicles is proposed and demonstrated. ...Compared with tra …
            ",https://pubmed.ncbi.nlm.nih.gov/35232118/
"
              
                MBioTracker: Multimodal Self-Aware Bio-Monitoring Wearable System for Online Workload Detection.
              
            ","DellrAgnola F, Pale U, Marino R, Arza A, Atienza D.",<built-in method split of str object at 0x000001C4051C2670>,34495839,No,"
              It achieves a detection accuracy of 76.6% (2.6% lower than analogous offline computer-based analysis) with a sensitivity of 77.04% and a specificity of 81.75%, on a simulated drone rescue mission task. Moreover, by applying our self-aware monitoring to exploit different en …
            ",https://pubmed.ncbi.nlm.nih.gov/34495839/
"
              
                Computer Vision and Less Complex Image Analyses to Monitor Potato Traits in Fields.
              
            ","Gao J, Westergaard JC, Alexandersson E.",<built-in method split of str object at 0x000001C40674FD70>,34448165,No,"
              In this chapter, practical aspects as well as advantages and disadvantages of aboveground phenotyping platforms are highlighted with a focus on drone-based imaging and relevant image analysis for field conditions. ...Several open and free resources are given to speed up da …
            ",https://pubmed.ncbi.nlm.nih.gov/34448165/
"
              
                Harmonic radar tracking reveals that honeybee drones navigate between multiple aerial leks.
              
            ","Woodgate JL, Makinson JC, Rossi N, Lim KS, Reynolds AM, Rawlings CJ, Chittka L.",<built-in method split of str object at 0x000001C4051269C0>,34308279,Yes,"
              Male honeybees (drones) are thought to congregate in large numbers in particular ""drone congregation areas"" to mate. ...Our study reveals the behavior of individual drones as they navigate between and within multiple aerial leks....
            ",https://pubmed.ncbi.nlm.nih.gov/34308279/
"
              
                Using multispectral drones to predict water quality in a subtropical estuary.
              
            ","Giles AB, Correa RE, Santos IR, Kelaher B.",<built-in method split of str object at 0x000001C4051FCF30>,36322116,No,"
Drones are revolutionising earth system observations, and are increasingly used for high resolution monitoring of water quality. The objective of this research was to test whether drone-based multispectral imagery could predict important water quality parameters in …
            ",https://pubmed.ncbi.nlm.nih.gov/36322116/
"
              
                A Path Planning Method with Perception Optimization Based on Sky Scanning for UAVs.
              
            ","Yuan S, Ota K, Dong M, Zhao J.",<built-in method split of str object at 0x000001C40674FBB0>,35161639,Yes,"
Unmanned aerial vehicles (UAVs) are frequently adopted in disaster management. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35161639/
"
              
                The optimization of the ""UAV-vehicle"" joint delivery route considering mountainous cities.
              
            ","Liu W, Li W, Zhou Q, Die Q, Yang Y.",<built-in method split of str object at 0x000001C4051C5E30>,35312709,Yes,"
              As a new transportation tool, unmanned aerial vehicle (UAV), has a broad application prospect in logistics distribution, especially for mountainous cities with complex terrain. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35312709/
"
              
                Lightweight air-to-air unmanned aerial vehicle target detection model.
              
            ","Cheng Q, Wang Y, He W, Bai Y.",<built-in method split of str object at 0x000001C40674C810>,38297020,Yes,"
              The rapid expansion of the drone industry has resulted in a substantial increase in the number of low-altitude drones, giving rise to concerns regarding collision avoidance and countermeasure strategies among these unmanned aerial vehicles. These chall …
            ",https://pubmed.ncbi.nlm.nih.gov/38297020/
"
              
                Reproductive and Morphological Quality of Commercial Honey Bee (Hymenoptera: Apidae) Drones in the United States.
              
            ","Metz BN, Tarpy DR.",<built-in method split of str object at 0x000001C40601EDB0>,34723330,Yes,"
              In those studies that consider drone quality explicitly, a primary focus has been on the dimorphic nature of drones laid in worker cells (either through rare queen error or worker reproduction) as compared to drones laid by the queen in the slightly larger …
            ",https://pubmed.ncbi.nlm.nih.gov/34723330/
"
              
                Automated external defibrillator drones and their role in emergency response.
              
            ","Scholz SS, Thies KC.",<built-in method split of str object at 0x000001C4051FD930>,38000868,Yes,"
",https://pubmed.ncbi.nlm.nih.gov/38000868/
"
              
                A fuzzy control algorithm for tracing air pollution based on unmanned aerial vehicles.
              
            ","Jiang X, Ding T, He Y, Cui X, Liu Z, Zhang Z.",<built-in method split of str object at 0x000001C405F4D460>,35839091,No,"
              The process of atmospheric pollutants traceability based on unmanned aerial vehicles (UAVs) is affected by many factors that can impact and increase the complexity of the traceability of atmospheric pollutants. ...The average success rate of the FCT algorithm under …
            ",https://pubmed.ncbi.nlm.nih.gov/35839091/
"
Unmanned Aerial Vehicle Mediated Drug Delivery for First Aid.
              
            ","Sheng T, Jin R, Yang C, Qiu K, Wang M, Shi J, Zhang J, Gao Y, Wu Q, Zhou X, Wang H, Zhang J, Fang Q, Pan N, Xue Y, Wang Y, Xiong R, Gao F, Zhang Y, Lu H, Yu J, Gu Z.",<built-in method split of str object at 0x000001C405209FD0>,36563167,No,"
              However, slow transport of first-aid therapeutics and the potential absence of trained people for drug usage can lead to severe injuries or even death. Herein, an unmanned aerial vehicle (UAV)-mediated first-aid system for targeted delivery (uFAST) is developed. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36563167/
"
              
                Research on the Applicability of Touchscreens in Manned/Unmanned Aerial Vehicle Cooperative Missions.
              
            ","Xue H, Zhang Q, Zhang X.",<built-in method split of str object at 0x000001C40674E6B0>,36366137,Yes,"
              The suitability of touchscreens for human-computer interaction in manned/unmanned aerial vehicle cooperative missions remains uncertain, especially in situations that are time-sensitive with variations in difficulty levels. ...The results support the possibility of …
            ",https://pubmed.ncbi.nlm.nih.gov/36366137/
"
              
                BREEZE-Boundary Red Emission Zone Estimation Using Unmanned Aerial Vehicles.
              
            ","Elmakis O, Shaked T, Fishbain B, Degani A.",<built-in method split of str object at 0x000001C405C8E880>,35891133,Yes,"
              In this context, this paper presents a method for gas sensing using unmanned aerial vehicles. The research focuses on developing a custom path planner-Boundary Red Emission Zone Estimation (BREEZE). ...
            ",https://pubmed.ncbi.nlm.nih.gov/35891133/
"
              
                Above-Ground Biomass Estimation in Oats Using UAV Remote Sensing and Machine Learning.
              
            ","Sharma P, Leigh L, Chang J, Maimaitijiang M, Caffé M.",<built-in method split of str object at 0x000001C4068498A0>,35062559,Yes,"
              Current strategies for phenotyping above-ground biomass in field breeding nurseries demand significant investment in both time and labor. Unmanned aerial vehicles (UAV) can be used to derive vegetation indices (VIs) with high throughput and could provide an efficien …
            ",https://pubmed.ncbi.nlm.nih.gov/35062559/
"
              
                SMART SKY EYE System for Preliminary Structural Safety Assessment of Buildings Using Unmanned Aerial Vehicles.
              
            ","Bae J, Lee J, Jang A, Ju YK, Park MJ.",<built-in method split of str object at 0x000001C40674D7D0>,35408376,Yes,"
              The development of unmanned aerial vehicles (UAVs) is expected to become one of the most commercialized research areas in the world over the next decade. ...This paper presents an aerial image-based approach using UAVs to inspect cracks and deformations in bu …
            ",https://pubmed.ncbi.nlm.nih.gov/35408376/
"
              
                Visual-inertial hand motion tracking with robustness against occlusion, interference, and contact.
              
            ","Lee Y, Do W, Yoon H, Heo J, Lee W, Lee D.",<built-in method split of str object at 0x000001C405C8FA50>,34586835,No,"
              ., direct humanoid hand teleoperation, hand-based collaborative robot programming, and drone swarm control) but also the user experience in many virtual reality and augmented reality applications....
            ",https://pubmed.ncbi.nlm.nih.gov/34586835/
"
              
                HSC-MET: Heterogeneous signcryption scheme supporting multi-ciphertext equality test for Internet of Drones.
              
            ","Yang X, Ren N, Chen A, Wang Z, Wang C.",<built-in method split of str object at 0x000001C406784F30>,36173984,Yes,"
              Internet of Drones (IoD) is considered as a network and management architecture, which can enable unmanned aerial vehicles (UAVs) to collect data in controlled areas and conduct access control for UAVs. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36173984/
"
              
                Consumer-grade UAV imagery facilitates semantic segmentation of species-rich savanna tree layers.
              
            ","Popp MR, Kalwij JM.",<built-in method split of str object at 0x000001C405206B40>,37620395,Yes,"
              Recent studies indicate that convolutional neural networks (CNNs) can classify woody forests, plantations, and urban vegetation at the species level using consumer-grade unmanned aerial vehicle (UAV) imagery. However, whether such an approach is feasible in species- …
            ",https://pubmed.ncbi.nlm.nih.gov/37620395/
"
              
                Mental workload assessments of aerial photography missions performed by novice unmanned aerial vehicle operators.
              
            ","Li KW, Peng L, Zhao C, Khaday S.",<built-in method split of str object at 0x000001C405FB2810>,36591669,No,"
              BACKGROUND: Mental workload is one of the important variables in understanding human performance in drone operation. OBJECTIVE: To test the effects of gender, age group, flight route, and altitude on the flight performance and mental workload of the novice drone ope …
            ",https://pubmed.ncbi.nlm.nih.gov/36591669/
"
              
                Species level mapping of a seagrass bed using an unmanned aerial vehicle and deep learning technique.
              
            ","Tahara S, Sudo K, Yamakita T, Nakaoka M.",<built-in method split of str object at 0x000001C405C8CA80>,36275465,Yes,"
              Seagrass monitoring by remote sensing have been conducted over past decades using satellite and aerial images, which have low resolution to analyze changes in the composition of different seagrass species in the meadows. Recently, unmanned aerial vehicles (UA …
            ",https://pubmed.ncbi.nlm.nih.gov/36275465/
"
              
                Gaussian Mixture Model and Self-Organizing Map Neural-Network-Based Coverage for Target Search in Curve-Shape Area.
              
            ","Yao P, Zhu Q, Zhao R.",<built-in method split of str object at 0x000001C40674EB10>,32991301,No,"
              This article focuses on the target search problem in a curve-shape area using multiple unmanned aerial vehicles (UAVs), with the demand for obtaining the maximum cumulative detection reward, as well as the constraint of maneuverability and obstacle avoidance. ...
            ",https://pubmed.ncbi.nlm.nih.gov/32991301/
"
              
                UAV aided virtual cooperative spectrum sensing for cognitive radio networks.
              
            ","Gul N, Kim SM, Ali J, Kim J.",<built-in method split of str object at 0x000001C405C8FE10>,37669304,Yes,"
              However, the high overheads associated with multi-user CSS impose power limitations that limit its usefulness in unmanned aerial vehicle (UAV) networks. To address this challenge, we propose a virtual CSS, where a single UAV conducts CSS while following a circular f …
            ",https://pubmed.ncbi.nlm.nih.gov/37669304/
"
              
                Detecting and distinguishing between apicultural plants using UAV multispectral imaging.
              
            ","Papachristoforou A, Prodromou M, Hadjimitsis D, Christoforou M.",<built-in method split of str object at 0x000001C406849790>,37077312,Yes,"
              Today, remote sensing can provide accurate plant distribution maps using rapid and efficient techniques. In the present study, a five-band multispectral unmanned aerial vehicle (UAV) was used in an established beekeeping area on Lemnos Island, Greece, for the collec …
            ",https://pubmed.ncbi.nlm.nih.gov/37077312/
"
              
                Smart Multi-Sensor System for Remote Air Quality Monitoring Using Unmanned Aerial Vehicle and LoRaWAN.
              
            ","Camarillo-Escobedo R, Flores JL, Marin-Montoya P, García-Torales G, Camarillo-Escobedo JM.",<built-in method split of str object at 0x000001C4051DE6F0>,35270852,Yes,"
              A smart multi-sensor system to monitor air quality is proposed in this work. The system uses an unmanned aerial vehicle and LoRa communication as an alternative for remote and in-situ atmospheric measurements. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35270852/
"
              
                A GRASP-Based Approach for Planning UAV-Assisted Search and Rescue Missions.
              
            ","Pedersen CB, Nielsen KG, Rosenkrands K, Vasegaard AE, Nielsen P, El Yafrani M.",<built-in method split of str object at 0x000001C406A54470>,35009817,Yes,"
              In addition, the potential complexity of the search such as the ruggedness of terrain or large size of the search region should be considered. Such issues can be tackled by using Unmanned Aerial Vehicles (UAVs) equipped with optical sensors. This can ensure the effi …
            ",https://pubmed.ncbi.nlm.nih.gov/35009817/
"
              
                Mortality data in the age of drones ().
              
            ",Carruthers E.,<built-in method split of str object at 0x000001C40674E5D0>,29663833,No,"
              Mortality data plays an essential role in shaping humanitarian, legal and ethical responses to conflict situations. The rise of drone warfare poses new questions regarding the accuracy and reliability of mortality data in conflict. This article examines some of the methodo …
            ",https://pubmed.ncbi.nlm.nih.gov/29663833/
"
              
                Trajectory Design for UAV-Based Data Collection Using Clustering Model in Smart Farming.
              
            ","Qayyum T, Trabelsi Z, Malik A, Hayawi K.",<built-in method split of str object at 0x000001C405C8EE20>,35009579,Yes,"
Unmanned aerial vehicles (UAVs) play an important role in facilitating data collection in remote areas due to their remote mobility. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35009579/
"
              
                D-CEWS: DEVS-Based Cyber-Electronic Warfare M&S Framework for Enhanced Communication Effectiveness Analysis in Battlefield.
              
            ","Seo S, Han S, Kim D.",<built-in method split of str object at 0x000001C406F43290>,35590837,Yes,"
              Currently, in the field of military modernization, tactical networks using advanced unmanned aerial vehicle systems, such as drones, place an emphasis on proactively preventing operational limiting factors produced by cyber-electronic warfare threats and resp …
            ",https://pubmed.ncbi.nlm.nih.gov/35590837/
"
              
                Comparing YOLOv3, YOLOv4 and YOLOv5 for Autonomous Landing Spot Detection in Faulty UAVs.
              
            ","Nepal U, Eslamiat H.",<built-in method split of str object at 0x000001C4067A01D0>,35062425,Yes,"
              In-flight system failure is one of the major safety concerns in the operation of unmanned aerial vehicles (UAVs) in urban environments. To address this concern, a safety framework consisting of following three main tasks can be utilized: (1) Monitoring health of the …
            ",https://pubmed.ncbi.nlm.nih.gov/35062425/
"
              
                A lightweight noise-tolerant encryption scheme for secure communication: An unmanned aerial vehicle application.
              
            ","Shafique A, Mehmood A, Elhadef M, Khan KH.",<built-in method split of str object at 0x000001C406784E30>,36121821,Yes,"
              In the modern era, researchers have focused a great deal of effort on multimedia security and fast processing to address computational processing time difficulties. Due to limited battery capacity and storage, Unmanned Aerial Vehicles (UAVs) must use energy-efficien …
            ",https://pubmed.ncbi.nlm.nih.gov/36121821/
"
              
                Flying Chameleons: A New Concept for Minimum-Deployment, Multiple-Target Tracking Drones.
              
            ","Vargas M, Vivas C, Rubio FR, Ortega MG.",<built-in method split of str object at 0x000001C405C8F690>,35336530,Yes,"
              In this paper, we aim to open up new perspectives in the field of autonomous aerial surveillance and target tracking systems, by exploring an alternative that, surprisingly, and to the best of the authors' knowledge, has not been addressed in that context by the research c …
            ",https://pubmed.ncbi.nlm.nih.gov/35336530/
"
              
                Path planning optimization in unmanned aerial vehicles using meta-heuristic algorithms: a systematic review.
              
            ","Yahia HS, Mohammed AS.",<built-in method split of str object at 0x000001C406F78110>,36282405,No,"
Unmanned aerial vehicles (UAVs) have recently been increasingly popular in various areas, fields, and applications. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36282405/
"
              
                Effective coastal Escherichia coli monitoring by unmanned aerial vehicles (UAV) thermal infrared images.
              
            ","Cheng KH, Jiao JJ, Luo X, Yu S.",<built-in method split of str object at 0x000001C406F78730>,35932703,No,"
              Here, this study established an E. coli estimation model based on thermal remote sensing of unmanned aerial vehicles (UAV). This model was developed against one-year comprehensive field work in a representative sandy beach and further validated against 50 beaches in …
            ",https://pubmed.ncbi.nlm.nih.gov/35932703/
"
              
                Using infrared cameras in drones to detect bleeding events.
              
            ","West C, Kaus B, Sullivan SO, Schneider H, Seifert O.",<built-in method split of str object at 0x000001C406787930>,38041028,Yes,"
              METHODS: In this study, a simulated pelvic hemorrhage was detected using a drone from 7 m above the ground over a time span of 30 s. RESULTS: The results allow a good detection of the pelvic hemorrhage. ...CONCLUSION: The findings suggest that bleeding from an open and con …
            ",https://pubmed.ncbi.nlm.nih.gov/38041028/
"
              
                Algorithms for Delivery of Data by Drones in an Isolated Area Divided into Squares.
              
            ","Deaconu AM, Udroiu R, Nanau CŞ.",<built-in method split of str object at 0x000001C4050F2A60>,34450914,Yes,"
              Two means exist to equidistantly cover an area with points, namely, grouping the points into equilateral triangles or squares. In this study, a network of drones that fly in an aerial area divided into squares was proposed and investigated. ...Two situations related …
            ",https://pubmed.ncbi.nlm.nih.gov/34450914/
"
              
                UAV spraying on citrus crop: impact of tank-mix adjuvant on the contact angle and droplet distribution.
              
            ","Meng Y, Zhong W, Liu C, Su J, Su J, Lan Y, Wang Z, Wang M.",<built-in method split of str object at 0x000001C406787A30>,35295557,Yes,"
              Adding tank-mix adjuvants into the spray mixture is a common practice to improve droplet distribution for field crops (e.g., rice, wheat, corn, etc.) when using Unmanned Aerial Vehicle (UAV) sprayers. However, the effectiveness of tank-mix adjuvant for UAV spraying …
            ",https://pubmed.ncbi.nlm.nih.gov/35295557/
