id,title,assignee,author ,priority date,filing/creation date,publication date,grant date,result_link,figure_link
FR-3068195-B1,"METHOD FOR MANUFACTURING A ROTATING SAILING ROTATING EQUIPMENT WITH A DEFROSTER, SAID ROTATING EQUIPMENT AND A DRONE PROVIDED WITH SAID ROTATING EQUIPMENT ",Airbus Helicopters,"Gauthier GIBERT, Nicolas Imbert",2017-6-27,2017-6-27,2019-7-19,2019-7-19,https://patents.google.com/patent/FR3068195B1/en,
JP-6937600-B2,Drone detection system and drone detection method ,リオン株式会社,"青山　秀次, 秀次 青山, 格一 塩見, 格一 塩見",2017-4-7,2017-4-7,2021-9-22,2021-9-22,https://patents.google.com/patent/JP6937600B2/en,https://patentimages.storage.googleapis.com/8f/9a/18/13a956c605d8de/0006937600-2.png
WO-2023156944-A2,"Products, systems, and methods for an autonomous drone docking station ","Airscort, Ltd.","Itai STRAUS, Yitzhak TAL, Shimon Yisraelian",2022-2-17,2023-2-17,2023-8-24,,https://patents.google.com/patent/WO2023156944A2/en,
FR-3080838-A1,MOBILE DRONES SUPPORT DEVICE ,Octopus Robots,Olivier Somville,2018-5-2,2018-5-2,2019-11-8,,https://patents.google.com/patent/FR3080838A1/en,
CN-110448835-A,A kind of fire fighting truck equipped for carrying the intelligent storage compartment of small drone ,润泰救援装备科技河北有限公司,"梁会芳, 吴文广, 郭伟伟, 乔安营, 任海静, 张兵强, 常彦凯, 郭建业, 杨子臻",2019-7-20,2019-7-20,2019-11-15,,https://patents.google.com/patent/CN110448835A/en,
KR-102522477-B1,System and method for generating optimized flight path using drug spraying drone ,재단법인한국조선해양기자재연구원,"권욱, 오우준, 윤종수",2022-4-12,2022-4-12,2023-4-17,2023-4-17,https://patents.google.com/patent/KR102522477B1/en,https://patentimages.storage.googleapis.com/dd/87/99/47f13fe004c874/112022038836062-pat00001.png
KR-102349989-B1,Amphibious underwater drone for marine cleaning having robotic arm ,이봉희,이봉희,2021-10-1,2021-10-1,2022-1-10,2022-1-10,https://patents.google.com/patent/KR102349989B1/en,https://patentimages.storage.googleapis.com/83/6a/c0/86162e01c2b112/112021113329613-pat00001.png
KR-20170052834-A,Envelope structure with drone ,이영석,이영석,2015-11-5,2015-11-5,2017-5-15,,https://patents.google.com/patent/KR20170052834A/en,https://patentimages.storage.googleapis.com/87/c3/79/1b3be042ceefc2/pat00001.png
TW-I640456-B,Machine tool system carried by a copter drone ,國立虎尾科技大學,"呂文祺, 段黎黎, 任宏彥",2017-10-18,2017-10-18,2018-11-11,2018-11-11,https://patents.google.com/patent/TWI640456B/en,
CN-208085999-U,A kind of plant protection drone damping undercarriage ,江西中轻智能设备有限公司,桂永斌,2018-4-17,2018-4-17,2018-11-13,2018-11-13,https://patents.google.com/patent/CN208085999U/en,
CN-207748026-U,A kind of liquid antichattering system of plant protection drone ,山东鸟人航空科技有限公司,"张锋, 贾春旭, 张涛",2017-11-23,2017-11-23,2018-8-21,2018-8-21,https://patents.google.com/patent/CN207748026U/en,
KR-102485640-B1,Firefighting Drone Capable of Destroying Obstacles ,(주)와우미래기술,"김문주, 김태욱",2021-6-15,2021-9-30,2023-1-6,2023-1-6,https://patents.google.com/patent/KR102485640B1/en,https://patentimages.storage.googleapis.com/c5/21/d8/dccdce58b1c1d4/112021112442124-pat00001.png
JP-3225236-U,Flight safety frame for large drones ,"合同会社スカイブルー, 株式会社空撮技研","克己 上野, 克己 上野, 豊 合田, 豊 合田",2019-10-31,2019-10-31,2020-2-20,2020-2-20,https://patents.google.com/patent/JP3225236U/en,
US-2022222944-A1,Security camera drone base station detection ,Alarm.Com Incorporated,"Ilja Nevdahs, Agris Kipurs",2019-3-15,2022-3-28,2022-7-14,,https://patents.google.com/patent/US20220222944A1/en,https://patentimages.storage.googleapis.com/7f/89/27/4413fe5ca75b12/US20220222944A1-20220714-D00000.png
US-11623150-B2,Rendering method for drone game ,"Compal Electronics, Inc",Hsiao-Chung Lee,2021-6-24,2021-9-28,2023-4-11,2023-4-11,https://patents.google.com/patent/US11623150B2/en,https://patentimages.storage.googleapis.com/9f/fd/c6/7b191b21b2a5ea/US11623150-20230411-D00000.png
CN-203916072-U,A kind of novel toy drone ,汕头市澄海区优迪玩具有限公司,王永双,2014-5-13,2014-5-13,2014-11-5,2014-11-5,https://patents.google.com/patent/CN203916072U/en,
CN-208868296-U,Mixed medicine plant protection drone and its control system online ,嘉兴职业技术学院,"李廷, 周乐",2018-7-23,2018-7-23,2019-5-17,2019-5-17,https://patents.google.com/patent/CN208868296U/en,
KR-20170139954-A,Motor for drone and drone having the same ,엘지이노텍 주식회사,박영대,2016-6-10,2016-6-10,2017-12-20,,https://patents.google.com/patent/KR20170139954A/en,https://patentimages.storage.googleapis.com/c2/3a/fe/420582c0c9b692/pat00001.png
CN-208882116-U,A kind of plant protection drone medicine-chest of anti-oscillating ,安徽数字鹰航空科技有限公司,陈乐春,2018-7-23,2018-7-23,2019-5-21,2019-5-21,https://patents.google.com/patent/CN208882116U/en,
KR-20200120841-A,Ocean Reconnaissance Drone System Having Wireless Charging Module ,주식회사 제이에스산업,김대인,2019-4-12,2019-4-12,2020-10-22,,https://patents.google.com/patent/KR20200120841A/en,https://patentimages.storage.googleapis.com/79/27/97/9cc3895af2e5f0/pat00001.png
FR-3003356-A1,METHOD FOR OBSERVING A ZONE USING A DRONE ,Delta Drone,Frederic Serre,2013-3-18,2013-3-18,2014-9-19,,https://patents.google.com/patent/FR3003356A1/en,
KR-20200025863-A,Drone equipped with fuel cell power pack having module mounting structure ,(주)두산 모빌리티 이노베이션,"성명훈, 심규정",2018-8-31,2018-8-31,2020-3-10,,https://patents.google.com/patent/KR20200025863A/en,https://patentimages.storage.googleapis.com/0d/7c/de/c9bc477d222a71/pat00001.png
KR-20180025416-A,Drone flying control system and method using motion recognition and virtual reality ,금오공과대학교 산학협력단,"신수용, 성치혁, 시바 리라 크리슈나 찬드 구디",2016-8-30,2016-8-30,2018-3-9,,https://patents.google.com/patent/KR20180025416A/en,https://patentimages.storage.googleapis.com/9b/ee/79/f0ec6d290ab271/pat00001.png
CN-107919735-A,Miniature drone fast wireless charging system ,天津大学,"邹强, 郑佳",2017-12-21,2017-12-21,2018-4-17,,https://patents.google.com/patent/CN107919735A/en,
KR-20190021804-A,Polution measuring apparatus using drone ,"이정윤, 김근영","이정윤, 김근영",2017-8-24,2017-8-24,2019-3-6,,https://patents.google.com/patent/KR20190021804A/en,https://patentimages.storage.googleapis.com/b2/f4/29/6f9b98344fc18b/pat00001.png
US-2020307829-A1,Charging system for autonomous drones ,Arizona Board Of Regents On Behalf Of Arizona State University,"Tyler Smith, Sami Mian, Kevin Westgard, Glenn Pace, John Patterson",2019-3-26,2020-3-20,2020-10-1,,https://patents.google.com/patent/US20200307829A1/en,https://patentimages.storage.googleapis.com/00/72/68/b5d5018c5dd12d/US20200307829A1-20201001-D00000.png
CN-215572469-U,Program-controlled lifting target drone ,吉林祥钰科技有限公司,"齐圣河, 王岐朋, 郑玉胜, 唐婷, 张涛文, 李进",2021-7-6,2021-7-6,2022-1-18,2022-1-18,https://patents.google.com/patent/CN215572469U/en,https://patentimages.storage.googleapis.com/d7/28/86/0a428ababa75c8/HDA0003150924360000011.png
JP-7254135-B2,Drone and its battery exchange system ,東友科技股▲ふん▼有限公司,陳鼎鈞,2020-12-18,2021-9-17,2023-4-7,2023-4-7,https://patents.google.com/patent/JP7254135B2/en,https://patentimages.storage.googleapis.com/0d/98/28/02ac2533ff68e4/0007254135000001.png
KR-20180007093-A,Motor for drone and drone having the same ,엘지이노텍 주식회사,박영대,2016-7-12,2016-7-12,2018-1-22,,https://patents.google.com/patent/KR20180007093A/en,https://patentimages.storage.googleapis.com/60/62/2d/e834659525fa56/pat00001.png
KR-102002952-B1,A device for damage protection for a drone ,"황보석, 엄도현","황보석, 엄도현",2017-11-30,2017-11-30,2019-7-25,2019-7-25,https://patents.google.com/patent/KR102002952B1/en,https://patentimages.storage.googleapis.com/bf/ff/3c/7b6fd8b1e2c053/112017119645222-pat00001.png
US-2020232797-A1,Drone-based scanning for location-based services ,Hewlett Packard Enterprise Development Lp,Motasem Al Amour,2019-1-23,2019-1-23,2020-7-23,,https://patents.google.com/patent/US20200232797A1/en,https://patentimages.storage.googleapis.com/82/c3/6d/1b0d054f329b3d/US20200232797A1-20200723-D00000.png
JP-WO2019187166-A1,"X-ray inspection device for drones, X-ray inspection device using drones, X-ray generator for drones ",つくばテクノロジー株式会社,"波 王, 波 王, 典生 齊藤, 典生 齊藤, 鈴木　修一, 修一 鈴木, 小軍 劉, 小軍 劉, 文康 郭, 文康 郭",2018-3-31,2018-3-31,2021-3-18,,https://patents.google.com/patent/JPWO2019187166A1/en,https://patentimages.storage.googleapis.com/fe/80/2e/a44bb4f247c9c5/2019187166-3.png
CN-109993228-A,Plant protection drone rice sheath blight disease recognition methods based on machine vision ,南通科技职业学院,"蔡银杰, 于翔, 沈美",2019-4-2,2019-4-2,2019-7-9,,https://patents.google.com/patent/CN109993228A/en,
US-2023068989-A1,Mutual Authentication Techniques for Drone Delivery ,University Of South Carolina,"Qiang Zeng, Lannan Luo",2021-8-31,2022-6-30,2023-3-2,,https://patents.google.com/patent/US20230068989A1/en,https://patentimages.storage.googleapis.com/78/48/fb/49220281c0fa44/US20230068989A1-20230302-D00000.png
US-11049406-B2,Thermal image based precision drone landing systems and methods ,"Ford Global Technologies, Llc",Sandeep Raj Gandiga,2018-12-19,2018-12-19,2021-6-29,2021-6-29,https://patents.google.com/patent/US11049406B2/en,https://patentimages.storage.googleapis.com/65/8d/6c/8f22fcf19dadff/US11049406-20210629-D00000.png
KR-20180069648-A,Measurement system of joints characteristics for rock slope based on arduino using drone ,주식회사 구주엔지니어링,"이현철, 권기문, 성기웅",2016-12-15,2016-12-15,2018-6-25,,https://patents.google.com/patent/KR20180069648A/en,https://patentimages.storage.googleapis.com/d6/3e/a5/cfa0f730028383/pat00002.png
US-11465740-B2,Vehicle-mounted aerial drone container ,"Ford Global Technologies, Llc","Oswaldo Perez Barrera, Alvaro JIMENEZ HERNANDEZ",2017-3-8,2017-3-8,2022-10-11,2022-10-11,https://patents.google.com/patent/US11465740B2/en,https://patentimages.storage.googleapis.com/aa/33/19/0192f7cedd4af7/US11465740-20221011-D00000.png
CN-207670668-U,A kind of airborne nozzle orientation rapid adjustable mechanism of plant protection drone ,天津航天中为数据系统科技有限公司,"尹文龙, 宋飞宇, 赵坤, 邵猛, 孙通, 刘今朝, 王斌, 张冬, 袁春阳, 张雪峰",2017-8-29,2017-8-29,2018-7-31,2018-7-31,https://patents.google.com/patent/CN207670668U/en,
KR-101933428-B1,A drone system which receiving a real time image from a drone and executing a human recognition image analyzing program ,주식회사 휴인스,송태훈,2017-5-4,2017-5-4,2018-12-28,2018-12-28,https://patents.google.com/patent/KR101933428B1/en,https://patentimages.storage.googleapis.com/cc/8b/60/9ae563818e3236/112017043401778-pat00001.png
KR-101996594-B1,Drone ,주식회사 엘에스엘시스템즈,"이기섭, 유창수, 강호열, 강원민, 하재옥",2017-9-12,2017-10-26,2019-7-5,2019-7-5,https://patents.google.com/patent/KR101996594B1/en,https://patentimages.storage.googleapis.com/cd/94/ed/93431893d51f5f/112017105823911-pat00001.png
US-2023227183-A1,Care Delivery Telehealth Drone ,University Of Cincinnati,"Debi Sampsel, Manish Kumar, Seung-yeon Lee, Victoria Wangia Anderson",2020-6-2,2021-6-2,2023-7-20,,https://patents.google.com/patent/US20230227183A1/en,https://patentimages.storage.googleapis.com/57/10/38/21d02f048fe133/US20230227183A1-20230720-D00000.png
CN-209181642-U,A kind of target drone with target bar rotating device ,厦门砺兵智能科技有限公司,"张延哲, 陈延池",2018-11-30,2018-11-30,2019-7-30,2019-7-30,https://patents.google.com/patent/CN209181642U/en,
CN-208399317-U,Plant protection drone pulverability Detecting data ,河南农业大学,"李�赫, 秦超彬, 张志�, 崔迎涛, 张开飞, 赵达卫, 张俊东",2018-6-27,2018-6-27,2019-1-18,2019-1-18,https://patents.google.com/patent/CN208399317U/en,
KR-20210063811-A,Cloud-based drone delivery management system and method ,(주)가이온,"이헌규, 강현섭, 이양우, 유기진",2019-11-25,2019-11-25,2021-6-2,,https://patents.google.com/patent/KR20210063811A/en,https://patentimages.storage.googleapis.com/5a/08/54/3584f3eb70e47a/pat00001.png
EP-3512116-B1,A drone for sidewardly communicating with flying drones ,Deutsche Telekom AG,Georg WANNEMACHER,2018-1-11,2018-1-11,2020-5-13,2020-5-13,https://patents.google.com/patent/EP3512116B1/en,https://patentimages.storage.googleapis.com/69/4c/83/f7d47997a14aa0/imgf0001.png
US-2023174234-A1,Methods and systems for drone based assistance ,Dish Network L.L.C.,Zane C. Eaton,2021-12-8,2021-12-8,2023-6-8,,https://patents.google.com/patent/US20230174234A1/en,https://patentimages.storage.googleapis.com/64/81/9e/124a8fa5d368f7/US20230174234A1-20230608-D00000.png
CN-206790606-U,A kind of video-unit of intelligent robot target drone ,"陈东华, 符斌","陈东华, 符斌",2017-6-18,2017-6-18,2017-12-22,2017-12-22,https://patents.google.com/patent/CN206790606U/en,
NL-2012975-B1,System and method for placing a load on a non-horizontal surface at a location that is difficult to reach and with which drone can be used. ,Fortes Applied Robotics B V,Willem-Jan Nijenhuis Sander,2014-6-10,2014-6-10,2016-6-27,2016-6-27,https://patents.google.com/patent/NL2012975B1/en,
KR-20210053509-A,Structure defect detecting system using drone ,"강원대학교산학협력단, 연세대학교 산학협력단","이상효, 김하영, 신현규",2019-11-4,2019-11-4,2021-5-12,,https://patents.google.com/patent/KR20210053509A/en,https://patentimages.storage.googleapis.com/29/2a/24/69a552f1e70294/pat00001.png
KR-101997148-B1,Drone for elimination of noxious insects ,순천향대학교 산학협력단,"유연호, 박기배, 김소연, 황호민, 최광필",2018-1-19,2018-1-19,2019-7-5,2019-7-5,https://patents.google.com/patent/KR101997148B1/en,https://patentimages.storage.googleapis.com/a7/be/fa/9ff82eaa6360bd/112018006908871-pat00001.png
KR-101943911-B1,Method and apparatus for tracing position using drone ,아주대학교산학협력단,"김재훈, 최광훈, 현만석",2017-4-20,2017-4-20,2019-1-30,2019-1-30,https://patents.google.com/patent/KR101943911B1/en,https://patentimages.storage.googleapis.com/24/85/1a/17cb6847f921dd/112017039025843-pat00004.png
KR-102444508-B1,Drone online matching service platform ,주식회사 유시스,"이일우, 권혁춘, 안동근, 여상구",2021-12-22,2022-4-28,2022-9-19,2022-9-19,https://patents.google.com/patent/KR102444508B1/en,https://patentimages.storage.googleapis.com/b5/3d/b6/4e7e03eda5cd53/112022045503117-pat00001.png
CN-106818641-B,Method for evaluating quantity of wild populations of oriental bees by utilizing drone aggregation areas ,中国农业科学院蜜蜂研究所,"丁桂玲, 黄家兴, 张红, 刘彦杰, 孙成, 安建东",2017-2-21,2017-2-21,2019-12-20,2019-12-20,https://patents.google.com/patent/CN106818641B/en,
KR-102299568-B1,Underground facility location information survey system using drone's stereo camera ,주식회사 서진정보기술,서영진,2021-1-27,2021-1-27,2021-9-9,2021-9-9,https://patents.google.com/patent/KR102299568B1/en,https://patentimages.storage.googleapis.com/78/4d/3b/534ff32136f7de/112021010727240-pat00001.png
KR-102335362-B1,System for precision spraying coating material using drone ,주식회사 엔에이치대풍,김성철,2021-8-26,2021-8-26,2021-12-6,2021-12-6,https://patents.google.com/patent/KR102335362B1/en,https://patentimages.storage.googleapis.com/e9/05/7a/8d1f4ec09d5282/112021098666990-pat00001.png
KR-20200143161-A,Safety Inspection Method of Structure Using Drone with Simultaneous Localization and Mapping ,에스큐엔지니어링(주),이래철,2019-6-14,2019-6-14,2020-12-23,,https://patents.google.com/patent/KR20200143161A/en,https://patentimages.storage.googleapis.com/a6/14/f2/952ed4573b51b9/pat00001.png
KR-102454943-B1,Mission Flight Plan Generation System Of Drone ,(주)자이언트드론,"김규범, 조인제",2021-1-29,2021-1-29,2022-10-17,2022-10-17,https://patents.google.com/patent/KR102454943B1/en,https://patentimages.storage.googleapis.com/bd/37/99/9c537d9da8cfb2/112021011937952-pat00001.png
KR-102428558-B1,Anti-Drone Gun ,주식회사 뉴젠테크,유승인,2021-8-25,2021-8-25,2022-8-4,2022-8-4,https://patents.google.com/patent/KR102428558B1/en,https://patentimages.storage.googleapis.com/22/34/dd/0e8e90019870f7/112021097994331-pat00001.png
KR-20180106603-A,Gimbal Unit and Drone including the same ,엘지이노텍 주식회사,김승진,2017-3-21,2017-3-21,2018-10-1,,https://patents.google.com/patent/KR20180106603A/en,https://patentimages.storage.googleapis.com/36/de/f1/4702c75e745f2e/pat00001.png
CN-206989823-U,The target drone of convertible pattern ,盛大力,盛大力,2017-5-11,2017-5-11,2018-2-9,2018-2-9,https://patents.google.com/patent/CN206989823U/en,
CN-111376814-A,Device for securing a drone during transport and method of use thereof ,福特全球技术公司,"纳尔逊·布罗克, 约瑟夫·贝尔, 詹姆斯·卡休",2018-12-26,2019-12-20,2020-7-7,,https://patents.google.com/patent/CN111376814A/en,https://patentimages.storage.googleapis.com/05/af/6e/a8dd6d42032d8f/HDA0002329018750000011.png
CN-208211316-U,Plant protection drone anti-oscillating water tank ,福建农林大学,"尚春雨, 刘恩江, 吴丽莺, 蔡建法, 马志婷, 肖桂斌, 杨书捷, 潘鹤立, 钟凤林",2018-4-12,2018-4-12,2018-12-11,2018-12-11,https://patents.google.com/patent/CN208211316U/en,
WO-2023003099-A1,Apparatus for drone for controlling recoil from grenade launch ,주식회사 아르고스다인,"정승호, 정승현",2021-7-20,2021-11-29,2023-1-26,,https://patents.google.com/patent/WO2023003099A1/en,https://patentimages.storage.googleapis.com/05/f1/da/692845b6340aca/PCTKR2021017688-appb-D000001.png
KR-102587445-B1,3d mapping method with time series information using drone ,이재영,이재영,2021-8-18,2021-8-18,2023-10-10,2023-10-10,https://patents.google.com/patent/KR102587445B1/en,
KR-20200130071-A,wide bandwidth anti-drone jamming system and its method ,다인시스템(주),"안승열, 황선우, 강순도",2019-5-10,2019-12-9,2020-11-18,,https://patents.google.com/patent/KR20200130071A/en,https://patentimages.storage.googleapis.com/ca/9d/f4/417055f57d38e1/pat00001.png
KR-101852013-B1,Permission device for driving drone and control method for the same ,금오공과대학교 산학협력단,지선구,2016-12-16,2016-12-16,2018-4-26,2018-4-26,https://patents.google.com/patent/KR101852013B1/en,https://patentimages.storage.googleapis.com/39/ed/4a/4da776e42cd923/112016123891645-pat00001.png
KR-102409043-B1,Drone for release of fry and young shellfish ,"한국수산자원공단, 조장희, 박찬용","윤종국, 김병섭, 전병희, 구수지, 성민지, 김도율, 이지현, 안정미, 임언호, 이인재, 성재은, 이석희, 김용석, 조장희, 박찬용, 정의진, 이기환",2021-12-31,2021-12-31,2022-6-16,2022-6-16,https://patents.google.com/patent/KR102409043B1/en,https://patentimages.storage.googleapis.com/5e/f5/c2/add7d9997e899e/112021153381255-pat00001.png
KR-101900812-B1,Method for controlling movement of drone using low energy bluetooth and appartus for supporting the same ,서원대학교산학협력단,"이재호, 이준범, 서효승, 민진기",2016-12-12,2016-12-12,2018-9-21,2018-9-21,https://patents.google.com/patent/KR101900812B1/en,https://patentimages.storage.googleapis.com/26/a4/2c/59ee8eb5546d81/112016121809798-pat00001.png
JP-7007678-B1,Drone and wall inspection system using it ,"西武建設株式会社, 学校法人東京理科大学, 国立研究開発法人建築研究所, 株式会社ケイ・パックス","憲太郎 二村, 学 兼松, 博之 宮内, 義彦 河内",2021-8-13,2021-8-13,2022-1-25,2022-1-25,https://patents.google.com/patent/JP7007678B1/en,https://patentimages.storage.googleapis.com/f2/d3/99/78322f20ecd163/0007007678000002.png
US-2024045449-A1,Method for controlling a drone along a shaft ,Inventio Ag,"Raphael BITZI, Christian Studer",2020-12-3,2021-11-24,2024-2-8,,https://patents.google.com/patent/US20240045449A1/en,https://patentimages.storage.googleapis.com/6e/82/9e/7b901bfecacb76/US20240045449A1-20240208-D00000.png
CN-215798493-U,Target drone oiling machine and oiling equipment ,北京星网宇达科技股份有限公司,"赵鑫, 张翔, 宋涛, 吴艳薇, 徐烨烽",2021-9-27,2021-9-27,2022-2-11,2022-2-11,https://patents.google.com/patent/CN215798493U/en,https://patentimages.storage.googleapis.com/7b/34/18/12837a42493d28/HDA0003283065520000011.png
CN-207843312-U,A kind of quadrotor drone aircraft ,淮阴师范学院,"汪文萍, 李刚, 裴欢",2018-1-24,2018-1-24,2018-9-11,2018-9-11,https://patents.google.com/patent/CN207843312U/en,
JP-WO2019168052-A1,"Drone, its control method, and program ",株式会社ナイルワークス,"千大 和氣, 千大 和氣, 洋 柳下, 洋 柳下",2018-2-28,2019-2-27,2020-7-27,,https://patents.google.com/patent/JPWO2019168052A1/en,https://patentimages.storage.googleapis.com/0a/b2/ee/ccc62f96fd44ff/2019168052-3.png
AU-2022325175-A1,Drone geophone installation arrangement ,Farlin Anooz MOHIDEEN,Farlin Anooz MOHIDEEN,2021-8-9,2022-7-26,2024-2-1,,https://patents.google.com/patent/AU2022325175A1/en,
JP-3233863-U,A drone with a module that fires fireworks with a smoke fire structure ,セントクロス株式会社,"雅秀 澤木, 雅秀 澤木",2021-5-21,2021-5-21,2021-9-9,2021-9-9,https://patents.google.com/patent/JP3233863U/en,https://patentimages.storage.googleapis.com/e0/31/8d/8f0879aedff84d/0003233863-3.png
KR-20200130072-A,Multi-pattern Anti-drone Jamming system and its method ,다인시스템(주),"안승열, 황선우, 강순도",2019-5-10,2019-12-9,2020-11-18,,https://patents.google.com/patent/KR20200130072A/en,https://patentimages.storage.googleapis.com/59/32/5c/67ccbf3ec63c9f/pat00001.png
KR-102350668-B1,Smart user situation monitoring system and method for landscaping based on artificial intelligence using drone ,주식회사 풍국,신승혁,2021-9-24,2021-9-24,2022-1-12,2022-1-12,https://patents.google.com/patent/KR102350668B1/en,https://patentimages.storage.googleapis.com/ad/31/a1/8bf6fe0f54a0a4/112021110028931-pat00001.png
KR-101872642-B1,Parachute for drone ,성윤진,"성윤진, 장재훈",2017-5-23,2017-5-23,2018-6-28,2018-6-28,https://patents.google.com/patent/KR101872642B1/en,https://patentimages.storage.googleapis.com/2e/65/48/c9284abd2cd7a6/112017049069459-pat00001.png
KR-20200102663-A,Vessel inside inspection method and device using drone ,삼성중공업 주식회사,"최승진, 남미희, 최현석, 천경현, 이승연",2019-2-22,2019-2-22,2020-9-1,,https://patents.google.com/patent/KR20200102663A/en,https://patentimages.storage.googleapis.com/db/9a/da/ceddb9d44b658a/pat00001.png
US-2018081375-A1,"Systems, Devices, and Methods for Providing Drone Assistance ","Wal-Mart Stores, Inc.","Robert James Taylor, Matthew Allen Jones, Aaron Vasgaard, Nicholaus Adam Jones",2016-9-20,2017-9-19,2018-3-22,,https://patents.google.com/patent/US20180081375A1/en,https://patentimages.storage.googleapis.com/9d/40/64/70c7a306dc8ddd/US20180081375A1-20180322-D00000.png
KR-20210014830-A,Drone battery management method and apparatus performing the same ,건국대학교 산학협력단,"배재휴, 성상경",2019-7-30,2019-7-30,2021-2-10,,https://patents.google.com/patent/KR20210014830A/en,https://patentimages.storage.googleapis.com/bf/b1/38/524652ad18fd7d/pat00001.png
WO-2022158660-A1,Drone charging station and method for operating same ,울산과학기술원,"강상훈, 손정우, 박찬송, 김태원",2021-1-20,2021-6-8,2022-7-28,,https://patents.google.com/patent/WO2022158660A1/en,https://patentimages.storage.googleapis.com/9f/cc/1d/ac677689067388/PCTKR2021007120-appb-D000001.png
FR-3043789-A1,CHARGING OF EPHEMERID DATA IN A DRONE. ,Parrot,Francois Muller,2015-11-13,2015-11-13,2017-5-19,,https://patents.google.com/patent/FR3043789A1/en,
KR-102358243-B1,Drone for water cleaning ,주식회사 플루톤,권오봉,2021-8-4,2021-8-4,2022-2-8,2022-2-8,https://patents.google.com/patent/KR102358243B1/en,https://patentimages.storage.googleapis.com/84/fb/ce/0e7432eac433fd/112021090063410-pat00001.png
WO-2022131577-A1,"Block drone, its manufacturing method, and educational platform using the same ","Dil Co,. Ltd.","Suhyun LEE, Chang Woo Kim",2020-12-14,2021-11-16,2022-6-23,,https://patents.google.com/patent/WO2022131577A1/en,https://patentimages.storage.googleapis.com/4a/f5/32/4e1c87a17c8436/PCTKR2021016752-appb-D000001.png
KR-102441268-B1,Firefighting inspection system using drone ,주식회사 한성테크,김정미,2021-8-3,2021-8-3,2022-9-7,2022-9-7,https://patents.google.com/patent/KR102441268B1/en,https://patentimages.storage.googleapis.com/d9/de/a7/b2a5a4a32c92e8/112021089594103-pat00001.png
US-2018283955-A1,Method of assessing multiple distribution transformer loading conditions in one area using an autonomous drone ,Ming Dong,Ming Dong,2018-5-8,2018-5-8,2018-10-4,,https://patents.google.com/patent/US20180283955A1/en,https://patentimages.storage.googleapis.com/54/5e/ac/31e995dc6adc5b/US20180283955A1-20181004-D00000.png
EP-4134306-A1,"Drone, auxiliary device for such a drone and drone-tool assembly ",Services Innovants Du Patrimoine Arbore,Sven HOLTZINGER,2021-8-12,2022-7-27,2023-2-15,,https://patents.google.com/patent/EP4134306A1/en,https://patentimages.storage.googleapis.com/66/02/b3/ba8f800ec382f4/imgf0001.png
JP-2020191059-A,Drone system ,"株式会社ナイルワークス, Nileworks Inc","千大 和氣, Kazuhiro Wake, 千大 和氣, 洋 柳下, Hiroshi Yagishita, 洋 柳下",2019-7-30,2019-7-30,2020-11-26,,https://patents.google.com/patent/JP2020191059A/en,https://patentimages.storage.googleapis.com/f3/df/eb/b64e9b2a6d911d/2020191059-3.png
CN-208064332-U,A kind of plant protection drone is with spilling medicine-chest ,清远市巨劲科技有限公司,黄汕,2018-3-16,2018-3-16,2018-11-9,2018-11-9,https://patents.google.com/patent/CN208064332U/en,
CN-207985208-U,A kind of plant protection drone that stationarity is good ,清远市巨劲科技有限公司,欧伟洪,2018-3-15,2018-3-15,2018-10-19,2018-10-19,https://patents.google.com/patent/CN207985208U/en,
CN-207986666-U,A kind of plant protection drone liquid-adding device ,清远市巨劲科技有限公司,杨毅勋,2018-3-15,2018-3-15,2018-10-19,2018-10-19,https://patents.google.com/patent/CN207986666U/en,
KR-102362393-B1,Artivicial intelligence water quality improvement system using drone ,부경엔지니어링주식회사,"구자용, 구종회, 김희재",2021-7-30,2021-7-30,2022-2-14,2022-2-14,https://patents.google.com/patent/KR102362393B1/en,https://patentimages.storage.googleapis.com/47/6e/e2/62befd923d3cb3/112021088474648-pat00001.png
KR-20200099818-A,Anti-drone system using unmanned aerial vehicle ,최춘화,최춘화,2019-2-15,2019-2-15,2020-8-25,,https://patents.google.com/patent/KR20200099818A/en,https://patentimages.storage.googleapis.com/11/38/6d/f9247ce0709a6a/pat00001.png
KR-102271938-B1,Drone for fire and emergency rescue system using the same ,(주)한성기술단,오상구,2021-2-1,2021-2-1,2021-7-2,2021-7-2,https://patents.google.com/patent/KR102271938B1/en,https://patentimages.storage.googleapis.com/7f/b0/13/b5565bcfd5ce1e/112021013086690-pat00001.png
KR-20210015462-A,Sports drone ,이상훈,이상훈,2019-8-2,2019-8-2,2021-2-10,,https://patents.google.com/patent/KR20210015462A/en,https://patentimages.storage.googleapis.com/81/c8/90/c23ef4f13aea9d/pat00001.png
US-11721030-B2,Method of autonomous hierarchical multi-drone image capturing ,"Sony Group Corporation, Sony Corporation Of America",Cheng-Yi Liu,2021-6-10,2021-6-10,2023-8-8,2023-8-8,https://patents.google.com/patent/US11721030B2/en,https://patentimages.storage.googleapis.com/19/1a/45/8db3b77754d906/US11721030-20230808-D00000.png
WO-2020236041-A1,Methods and control systems for controlling drone base stations ,Telefonaktiebolaget Lm Ericsson (Publ),"Anders NORDLÖW, Imadur RAHMAN, Muhammad Kazmi",2019-5-17,2019-5-17,2020-11-26,,https://patents.google.com/patent/WO2020236041A1/en,
